Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,NIFVIX,IN003M,Daily_STIR,Option_Price
2024-02-13,19782.9,0.009291307337592196,0.14749493141963163,0.158075,0.0739,0.0002932539682539682,4.630821458220453
2024-02-14,19922.3,0.008924148327403262,0.14166646282417233,0.15435,0.0738,0.0002928571428571429,4.479612749444641
2024-02-15,20037.0,0.008676870566243562,0.13774105005945997,0.15225,0.0736,0.00029206349206349207,4.380855591582076
2024-02-16,20164.9,0.00837647719405171,0.13297245310958974,0.152225,0.0736,0.00029206349206349207,4.256591291843506
2024-02-20,20271.9,0.008139050570232412,0.12920342230208046,0.160725,0.0736,0.00029206349206349207,4.158220462666577
2024-02-21,20128.3,0.007863304379057426,0.12482608722114673,0.159275,0.0734,0.0002912698412698413,3.9892489443209342
2024-02-22,20283.95,0.007969552751550873,0.12651272784608483,0.151975,0.0734,0.0002912698412698413,4.074257945976569
2024-02-23,20313.5,0.007868795736978174,0.1249132598256568,0.149725,0.0735,0.00029166666666666664,4.0287732687356765
2024-02-26,20255.8,0.007514013728202086,0.11928127003648802,0.156,0.0736,0.00029206349206349207,3.836744975336842
2024-02-27,20292.85,0.00730777621725954,0.11600735104668639,0.157275,0.0736,0.00029206349206349207,3.7385862433711736
2024-02-28,20020.4,0.006999323229893128,0.11111081167232753,0.1633,0.0736,0.00029206349206349207,3.5332001393562678
2024-02-29,20090.05,0.008194030720576886,0.13007620513121898,0.155725,0.0735,0.00029166666666666664,4.148661574063226
2024-03-01,20349.8,0.007843028066264482,0.1245042107342138,0.15235,0.0734,0.0002912698412698413,4.022778770433433
2024-03-04,20432.05,0.008327829730300586,0.13220019856359272,0.149225,0.0734,0.0002912698412698413,4.287972209343934
2024-03-05,20382.0,0.007983080606205563,0.12672747588121605,0.1438,0.0733,0.0002908730158730159,4.100865525921108
2024-03-06,20379.55,0.007712857388718122,0.12243781528953113,0.14295,0.0733,0.0002908730158730159,3.9619759285324108
2024-03-07,20434.8,0.007384623865300543,0.11722726964002667,0.136125,0.0735,0.00029166666666666664,3.8041865453196806
2024-03-11,20288.75,0.007081533362023977,0.11241585706153545,0.13995,0.0737,0.00029246031746031745,3.6224914060039737
2024-03-12,20171.4,0.007303467536751421,0.1159389528640665,0.136375,0.0735,0.00029166666666666664,3.7140112121905986
2024-03-13,19646.3,0.007348715400420081,0.11665724043181187,0.144325,0.0733,0.0002908730158730159,3.6396376243392297
2024-03-14,19916.35,0.011237938917591095,0.17839674974928255,0.136225,0.0732,0.0002904761904761905,5.636271411642156
2024-03-15,19825.2,0.011325942364883036,0.1797937611655877,0.1369,0.0735,0.00029166666666666664,5.654368710896961
2024-03-18,19843.1,0.010879461581218634,0.17270609845311627,0.13895,0.0737,0.00029246031746031745,5.436856032440119
2024-03-19,19610.55,0.01030286683930299,0.1635529406868587,0.141125,0.0739,0.0002932539682539682,5.089005879188335
2024-03-20,19632.05,0.01061163187331664,0.16845443364817378,0.134725,0.074,0.00029365079365079364,5.246936698918944
2024-03-21,19897.4,0.010053398653102582,0.1595927560026069,0.125125,0.074,0.00029365079365079364,5.038715952754501
2024-03-22,19994.6,0.010272806845214718,0.16307575307424085,0.1222,0.0745,0.00029563492063492064,5.1736581154091255
2024-03-26,20005.25,0.009802527186840583,0.1556102949379786,0.1282,0.0744,0.0002952380952380952,4.93996459563823
